Your age,Gender,Frequency of using ride sharing,Waiting time for a ride,"Distance travelled

", Driver's rating,Cleanliness of vehicle, Ease of booking ,Cost of Ride ,Time of day,"Ride-Sharing Service Rating:
"
18,Male,Occasionally,11-20 minutes,21-30 km,4,Often,Easy,Neutral,Afternoon,4
22,Male,Rarely,Less than 5 minutes,21-30 km,4,Always,Easy,Neutral,Evening,4
20,Female,Occasionally,5-10 minutes,7-15 km,5,Always,Very easy,Affordable,Morning,5
20,Female,Occasionally,11-20 minutes,2-7 km,4,Sometimes,Very easy,Neutral,Evening,3
20,Male,Rarely,5-10 minutes,15-21 km,3,Sometimes,Very easy,Neutral,Afternoon,4
18,Male,Rarely,More than 30 minutes,7-15 km,3,Often,Neutral,Neutral,Evening,3
21,Female,Occasionally,5-10 minutes,15-21 km,4,Always,Neutral,Affordable,Evening,5
21,Female,Rarely,5-10 minutes,15-21 km,4,Often,Easy,Expensive,Evening,3
21,Male,Weekly,Less than 5 minutes,15-21 km,4,Often,Easy,Affordable,Night,4
19,Male,Rarely,5-10 minutes,2-7 km,3,Often,Very easy,Neutral,Afternoon,4
21,Male,Occasionally,5-10 minutes,7-15 km,5,Always,Very easy,Neutral,Morning,4
21,Male,Occasionally,11-20 minutes,7-15 km,3,Sometimes,Neutral,Expensive,Evening,3
20,Female,Occasionally,5-10 minutes,7-15 km,3,Often,Easy,Neutral,Afternoon,3
21,Female,Rarely,11-20 minutes,more than 30 km,4,Often,Easy,Affordable,Afternoon,4
21,Male,Occasionally,5-10 minutes,15-21 km,4,Often,Easy,Neutral,Evening,4
21,Female,Daily,11-20 minutes,7-15 km,3,Often,Neutral,Neutral,Afternoon,3
21,Female,Occasionally,5-10 minutes,15-21 km,4,Often,Easy,Affordable,Evening,4
27,Female,Occasionally,11-20 minutes,15-21 km,4,Always,Very easy,Expensive,Afternoon,4
21,Female,Occasionally,5-10 minutes,7-15 km,4,Always,Easy,Affordable,Afternoon,4
20,Female,Occasionally,11-20 minutes,7-15 km,4,Often,Very easy,Neutral,Afternoon,4
20,Female,Occasionally,5-10 minutes,7-15 km,4,Always,Easy,Neutral,Afternoon,4
21,Male,Rarely,5-10 minutes,7-15 km,2,Often,Easy,Affordable,Afternoon,2
24,Male,Daily,Less than 5 minutes,7-15 km,4,Always,Very easy,Neutral,Evening,4
21,Female,Occasionally,5-10 minutes,15-21 km,5,Always,Easy,Neutral,Evening,5
18,Male,Rarely,5-10 minutes,more than 30 km,4,Sometimes,Easy,Neutral,Evening,3
23,Male,Rarely,11-20 minutes,7-15 km,5,Often,Very easy,Very expensive,Afternoon,3
21,Male,Occasionally,11-20 minutes,7-15 km,4,Often,Very easy,Affordable,Evening,4
19,Male,Occasionally,5-10 minutes,7-15 km,5,Always,Easy,Affordable,Evening,5
21,Female,Rarely,5-10 minutes,15-21 km,4,Often,Easy,Affordable,Afternoon,4
21,Male,Monthly,5-10 minutes,more than 30 km,4,Often,Easy,Neutral,Evening,4
